link,name,event,start,end,hours,zero_hours,treated_hours,blocks,windows,blocks_with_window,weight,weight_plus,weight_minus,confirmed,source,type,message_coverage,directions,both_directions_coverage,message_ids,note,remit_frozen
PL-SE,SwePol,0,2023-10-01,2023-10-13,298,298,285,2,5,2,0.08396702569680853,0.03689992561568541,0.12243337615200953,True,Nord Pool UMM,planned,1.0,PL>SE;SE>PL,1.0,0dfcaabf-1fa9-4805-aa68-4a54b660e5d2;e961ea36-a821-4574-bbd5-012d41ad452c;66983df9-b1d6-4b3c-9105-51abe5e46a11,,
PL-SE,SwePol,1,2023-12-16,2023-12-18,32,32,32,1,5,1,0.006820598463033713,0.01149059092388484,0.0049407590973043316,False,,,0.0,,0.0,,,
PL-SE,SwePol,2,2024-08-20,2024-10-23,1543,1543,1063,7,10,3,0.34368367106384057,0.24840056444374556,0.36152000644725246,True,Nord Pool UMM,planned,1.0,PL>SE;SE>PL,1.0,be79c35d-5b68-46dd-8e22-38efd2cb5211;fe72c226-20cd-4316-9ded-7feaeffb6434;502f952d-d7f2-4117-b804-bd909b92aec2,,
PL-SE,SwePol,3,2024-10-26,2024-10-28,52,52,52,1,5,1,0.0013591583653379535,0.0008626706449568102,0.0030608144196614465,True,Nord Pool UMM,planned,1.0,PL>SE;SE>PL,1.0,14fa8388-a131-487b-956e-3d9d8c001920;fe72c226-20cd-4316-9ded-7feaeffb6434;7f77d32e-c7ed-40ab-ada1-5dd888e39445,,
PL-SE,SwePol,4,2025-09-22,2025-10-03,272,271,229,2,5,1,0.026070850481226506,0.01965495891883512,0.047451719732625804,True,Nord Pool UMM,planned,1.0,PL>SE;SE>PL,1.0,40feae0e-20f7-4218-9915-419498b3cbe0;ce7b3e7a-d835-459a-a3d6-0ac467a548a2;e64f3a78-2a14-48da-b93b-a675b34a58f3,,
PL-SE,SwePol,5,2025-11-04,2025-11-05,32,32,32,1,5,1,0.002330724049125335,0.0014793325560523308,0.005248773034657154,True,Nord Pool UMM,planned,1.0,PL>SE;SE>PL,1.0,ca1a58d5-0c9b-4159-9687-0c14a77d6adf;a099c600-433a-4fd3-b3fa-000ca61bab6f,,
PL-SE,SwePol,6,2026-02-11,2026-04-29,1850,1850,1401,9,16,4,0.5357679718806273,0.6812119568968399,0.45534455111648936,True,Nord Pool UMM,unplanned,1.0,PL>SE;SE>PL,1.0,7b845707-c1d6-4af2-bb4f-1ffceaba1d0b;60ea4d43-53c9-4523-8926-ad8dfbd4c124;d2ac0eba-9c1e-4f0e-8e8f-1f627935f95b,,
PL-SE,SwePol,7,2026-08-04,2026-08-05,27,27,0,0,0,0,0.0,0.0,0.0,True,Nord Pool UMM,planned,1.0,PL>SE;SE>PL,0.63,98252856-98e7-4fff-9117-1897eea8fa4e;2a326843-c760-4c3c-adc9-9a956f5a58af,,
PL-SE,SwePol,8,2026-08-09,2026-08-10,25,25,0,0,0,0,0.0,0.0,0.0,True,Nord Pool UMM,planned,0.76,PL>SE,0.48,add6a37a-fffa-402c-8a91-e5377cc2f745;87670b20-26f0-418b-a875-7a753f62a4be;4dc15dbe-6d9d-4b6f-98d0-f8d27902dbe2,,
DK-NL,COBRAcable,0,2023-10-30,2023-11-03,103,102,101,1,5,1,0.11008529885390503,0.25355124480835645,0.07221681089313617,True,Nord Pool UMM,planned,1.0,DK>NL;NL>DK,1.0,fce4a1e7-a3a0-4f9a-98ed-dcd5e703f7fe,,
